 param_v,     stp,     trn_a,     trn_l, time_send, time_recv, time_calc, time_eval,     grd_n
     592,     274,0.34375000,    1.6645,   0.30347,   0.00000,   0.12400,   0.00800,    9.5460
     592,     275,0.40625000,    1.5395,   0.23013,   0.00000,   0.21000,   0.01100,    9.3045
     603,     276,0.32812500,    1.9400,   0.17889,   0.15853,   0.13500,   0.00600,   10.0508
     603,     277,0.50000000,    1.5741,   0.28400,   0.00000,   0.15704,   0.00500,   10.0416
     603,     278,0.32812500,    2.1186,   0.23766,   0.00000,   0.23800,   0.01000,   10.1529
     603,     279,0.37500000,    1.4566,   0.23800,   0.00000,   0.23235,   0.01200,    9.8375
     603,     280,0.45312500,    1.6807,   0.26555,   0.00000,   0.22901,   0.01099,    9.3906
     613,     281,0.45312500,    1.8632,   0.25343,   0.12423,   0.21200,   0.01200,   10.1174
     613,     282,0.43750000,    1.5919,   0.22095,   0.00000,   0.17103,   0.00497,   10.4087
     613,     283,0.32812500,    1.6456,   0.26700,   0.00000,   0.14162,   0.00499,   10.2254
     613,     284,0.46875000,    1.5749,   0.26400,   0.00000,   0.20900,   0.00500,    9.0761
     613,     285,0.29687500,    1.8939,   0.24103,   0.00000,   0.22682,   0.01100,   10.3195
     624,     286,0.37500000,    1.8015,   0.29042,   0.20033,   0.20301,   0.00700,    9.5357
