     stp,     trn_a,     trn_l, time_send, time_recv, time_calc, time_eval,     grd_n,        cr
     207,0.42187500,    1.7434,   0.08353,   0.13738,   0.08802,   0.00451,    4.2461,0.50000000
     208,0.39062500,    1.5373,   0.11872,   0.13596,   0.12707,   0.00904,    4.1870,0.50000000
     209,0.39062500,    1.5241,   0.05976,   0.08356,   0.10721,   0.00600,    4.3017,0.50000000
     210,0.40625000,    1.8012,   0.07606,   0.09640,   0.09913,   0.00900,    4.6779,0.50000000
     211,0.51562500,    1.4142,   0.12600,   0.13008,   0.12176,   0.00800,    3.6763,0.50000000
     212,0.46875000,    1.4536,   0.05900,   0.08400,   0.11900,   0.00400,    3.9655,0.50000000
     213,0.39062500,    1.5001,   0.08300,   0.10000,   0.08900,   0.00500,    4.3355,0.50000000
     214,0.42187500,    1.6338,   0.09300,   0.12200,   0.10900,   0.00500,    4.1592,0.50000000
     215,0.39062500,    1.6898,   0.09400,   0.13201,   0.11100,   0.00400,    4.6147,0.50000000
     216,0.40625000,    1.6489,   0.08900,   0.12600,   0.12300,   0.00500,    4.5643,0.50000000
     217,0.40625000,    1.6172,   0.08300,   0.12600,   0.13000,   0.00900,    4.8080,0.50000000
     218,0.46875000,    1.5323,   0.12400,   0.13711,   0.11700,   0.00800,    4.7246,0.50000000
     219,0.34375000,    1.7823,   0.05900,   0.07900,   0.10700,   0.00400,    4.9539,0.50000000
     220,0.54687500,    1.3536,   0.08300,   0.09100,   0.09600,   0.00400,    4.4617,0.50000000
     221,0.39062500,    1.6423,   0.12310,   0.14031,   0.12001,   0.00801,    4.3667,0.50000000
     222,0.48437500,    1.7313,   0.12500,   0.08131,   0.11400,   0.00800,    4.5978,0.50000000
     223,0.39062500,    1.4870,   0.05897,   0.08100,   0.11100,   0.00403,    4.1644,0.50000000
     224,0.45312500,    1.5878,   0.08600,   0.09308,   0.10300,   0.00500,    4.2797,0.50000000
     225,0.39062500,    1.6969,   0.09200,   0.13100,   0.10700,   0.00400,    4.3870,0.50000000
     226,0.42187500,    1.4010,   0.09100,   0.12700,   0.11000,   0.00500,    4.2153,0.50000000
     227,0.37500000,    1.6005,   0.07300,   0.13207,   0.10400,   0.01000,    4.5048,0.50000000
     228,0.34375000,    1.5557,   0.12000,   0.12000,   0.11600,   0.01000,    4.5266,0.50000000
     229,0.42187500,    1.5756,   0.13201,   0.08300,   0.12800,   0.00700,    4.8364,0.50000000
     230,0.39062500,    1.6239,   0.05900,   0.07800,   0.10900,   0.00500,    4.6856,0.50000000
     231,0.39062500,    1.7420,   0.10000,   0.09300,   0.11200,   0.00400,    4.3528,0.50000000
     232,0.39062500,    1.7313,   0.10201,   0.12600,   0.12500,   0.00400,    4.4423,0.50000000
     233,0.37500000,    1.5055,   0.09900,   0.12506,   0.14000,   0.00400,    4.2403,0.50000000
     234,0.45312500,    1.6334,   0.11900,   0.14100,   0.11600,   0.01000,    4.6982,0.50000000
     235,0.43750000,    1.5177,   0.09813,   0.07900,   0.12400,   0.00600,    4.3915,0.50000000
     236,0.35937500,    1.6738,   0.05900,   0.08000,   0.12000,   0.00500,    4.5987,0.50000000
     237,0.40625000,    1.5644,   0.09400,   0.09600,   0.11000,   0.00500,    4.7245,0.50000000
     238,0.26562500,    1.9274,   0.07700,   0.13700,   0.09600,   0.00800,    5.0526,0.50000000
     239,0.42187500,    1.6277,   0.12800,   0.13959,   0.11500,   0.01000,    4.3365,0.50000000
     240,0.46875000,    1.4200,   0.06000,   0.07500,   0.11900,   0.00700,    4.3346,0.50000000
     241,0.37500000,    1.6127,   0.13962,   0.10000,   0.12900,   0.00900,    4.4935,0.50000000
     242,0.32812500,    1.7041,   0.06100,   0.07300,   0.11400,   0.00500,    4.4933,0.50000000
     243,0.39062500,    1.6059,   0.09900,   0.10900,   0.11000,   0.00400,    4.6094,0.50000000
     244,0.39062500,    1.7815,   0.13002,   0.13600,   0.11500,   0.00900,    4.8334,0.50000000
     245,0.50000000,    1.4282,   0.06000,   0.07500,   0.10600,   0.00400,    4.1096,0.50000000
     246,0.37500000,    1.4645,   0.08500,   0.09400,   0.10200,   0.00500,    4.0720,0.50000000
     247,0.35937500,    1.8604,   0.05800,   0.13801,   0.11600,   0.00400,    4.5517,0.50000000
     248,0.42187500,    1.5905,   0.09700,   0.09411,   0.10600,   0.00500,    4.2128,0.50000000
     249,0.45312500,    1.5304,   0.13500,   0.14000,   0.12400,   0.00900,    4.0965,0.50000000
     250,0.46875000,    1.6079,   0.05600,   0.07400,   0.11900,   0.00800,    4.1927,0.50000000
     251,0.42187500,    1.7077,   0.06000,   0.09956,   0.11400,   0.00600,    4.2941,0.50000000
     252,0.46875000,    1.2986,   0.08300,   0.10400,   0.10700,   0.00500,    3.7177,0.50000000
     253,0.46875000,    1.4944,   0.08200,   0.13200,   0.10200,   0.00400,    4.2654,0.50000000
     254,0.34375000,    1.7515,   0.07200,   0.12973,   0.09400,   0.00800,    5.3192,0.50000000
     255,0.40625000,    1.5505,   0.08300,   0.13300,   0.11500,   0.00400,    4.5960,0.50000000
     256,0.37500000,    1.6390,   0.07400,   0.12900,   0.09600,   0.01300,    4.4546,0.50000000
     257,0.45312500,    1.5249,   0.10600,   0.11602,   0.11200,   0.00500,    4.4237,0.50000000
     258,0.40625000,    1.6746,   0.09906,   0.08268,   0.11337,   0.00588,    4.8607,0.50000000
     259,0.42187500,    1.7343,   0.06200,   0.09000,   0.10556,   0.00400,    4.5411,0.50000000
     260,0.46875000,    1.4530,   0.05868,   0.10800,   0.10819,   0.00400,    3.9784,0.50000000
     261,0.40625000,    1.5067,   0.08500,   0.09300,   0.09800,   0.00400,    4.3899,0.50000000
     262,0.35937500,    1.6887,   0.09500,   0.13000,   0.11500,   0.00400,    4.3784,0.50000000
     263,0.46875000,    1.4711,   0.07600,   0.13300,   0.11956,   0.00700,    4.3311,0.50000000
     264,0.40625000,    1.5536,   0.10800,   0.14100,   0.12000,   0.00700,    4.5513,0.50000000
     265,0.45312500,    1.6250,   0.06000,   0.07900,   0.12400,   0.00400,    4.0199,0.50000000
     266,0.37500000,    1.8088,   0.07299,   0.09600,   0.09801,   0.01257,    4.5821,0.50000000
     267,0.35937500,    1.7695,   0.11209,   0.12803,   0.11339,   0.00801,    4.5449,0.50000000
     268,0.45312500,    1.4940,   0.12555,   0.08498,   0.12001,   0.00701,    4.5315,0.50000000
     269,0.48437500,    1.4369,   0.06000,   0.08300,   0.12514,   0.00500,    4.2733,0.50000000
     270,0.37500000,    1.6213,   0.05900,   0.11300,   0.11200,   0.00500,    4.3480,0.50000000
